question_no,question,0,1,2,3,answer,category
377,पृथ्वी पर दिन और रात होते हैं ?, दैनिक गति के कारण, वार्षिक गति के कारण, छमाही गति के कारण, तिमाही गति के कारण,0,General
378,सबसे बड़ा ग्रह है ?, बृहस्पति, पृथ्वी, युरेनस, शुक्र,0,General
379,सबसे छोटा ग्रह है ?, मंगल, शनि, बुध, नेप्चून,2,General
380,अगुलहास धारा किस महासागर में बनती है ?, प्रशान्त महासागर में, हिन्द महासागर में, आर्कटिक महासागर में, अन्य,1,General
381,पृथ्वी का सबसे भीतर वाला भाग क्रोड किसका बना होता है ?, ताँबा और जस्ता, निकेल और ताँबा, लोहा और जस्ता, लोहा और निकेल,3,General
382,"मैंगनीज के उत्पादन में भारत का दूसरा स्थान है, प्रथम देश कौन सा है ?", फ्रांस, रुसी संघ, कनाडा, संयुक्त राज्य अमेरिका,1,General
383,निम्नांकित में से कौन देश कोयले का सबसे बड़ा उत्पादक है ?, ब्राजील, भारत, अमेरिका, चीन,2,General
384,इनमें किसको जापान का मैनचेस्टर कहा जाता है ?, ओसाका, टोकियो, नागासाकी, याकोहामा,0,General
385,भारत के स्वतंत्रता संघर्ष के दौरान 'Deccan Educational Society' नामक संस्था की स्थापना किसने की थी ?, जवाहरलाल नेहरू, रवीन्द्र नाथ टैगोर, बाल गंगाधर तिलक, व्योमेश चन्‍द्र बनर्जी,2,General
386,1857 के गदर के समय भारत का गवर्नर जनरल कौन था ?, लॉर्ड केनिंग, नील आर्मस्ट्रांग, जॉन मथाई, अन्य,0,General
387,भारत भारतीयों के लिए ' नारा किस संस्था ने दिया था ?, अशासकीय संस्था, आर्य समाज ने, ब्राह्म समाज ने, अन्य,1,General
388,विन्ध्याचल और सतपुड़ा पहाड़ियों के बीच से होकर बहने वाली नदी है ?, नर्मदा, सिंधु नदी, कोसी, गोदावरी,0,General
389,इन्वेस्टर प्रोटेक्शन फण्ड (Investor Protection Fund) किस संस्था ने स्थापित किया है ?, पूंजी मुद्दे ने, DLF ने, सेबी (SEBI) ने, अन्य,2,General
390,कुण्डापुर एंव करवार कच्छ वनस्पति स्थान कहाँ स्थित हैं ?, केरल राज्य में, कर्नाटक राज्य में, तमिल नाडु राज्य में, त्रिपुरा राज्य में,1,General
391,भारत की प्रथम बहुउद्देशीय परियोजना किस नदी पर बनाई गई थी ?, कावेरी नदी, गंडक नदी, दामोदर नदी पर, यमुना नदी,2,General
392,भारत में प्रथम स्थापित परमाणु-संयंत्र (Atomic Plant) कौन-सा है ?, तारापुर परमाणु संयंत्र, कैटेनोम परमाणु संयंत्र., कुडनकुलम परमाणु संयंत्र, अन्य,0,General
